email,password
bidbench-redis-bidder0001@loadtest.local,BypassOnly123!
bidbench-redis-bidder0002@loadtest.local,BypassOnly123!
bidbench-redis-bidder0003@loadtest.local,BypassOnly123!
bidbench-redis-bidder0004@loadtest.local,BypassOnly123!
bidbench-redis-bidder0005@loadtest.local,BypassOnly123!
bidbench-redis-bidder0006@loadtest.local,BypassOnly123!
bidbench-redis-bidder0007@loadtest.local,BypassOnly123!
bidbench-redis-bidder0008@loadtest.local,BypassOnly123!
bidbench-redis-bidder0009@loadtest.local,BypassOnly123!
bidbench-redis-bidder0010@loadtest.local,BypassOnly123!
bidbench-redis-bidder0011@loadtest.local,BypassOnly123!
bidbench-redis-bidder0012@loadtest.local,BypassOnly123!
bidbench-redis-bidder0013@loadtest.local,BypassOnly123!
bidbench-redis-bidder0014@loadtest.local,BypassOnly123!
bidbench-redis-bidder0015@loadtest.local,BypassOnly123!
bidbench-redis-bidder0016@loadtest.local,BypassOnly123!
bidbench-redis-bidder0017@loadtest.local,BypassOnly123!
bidbench-redis-bidder0018@loadtest.local,BypassOnly123!
bidbench-redis-bidder0019@loadtest.local,BypassOnly123!
bidbench-redis-bidder0020@loadtest.local,BypassOnly123!
bidbench-redis-bidder0021@loadtest.local,BypassOnly123!
bidbench-redis-bidder0022@loadtest.local,BypassOnly123!
bidbench-redis-bidder0023@loadtest.local,BypassOnly123!
bidbench-redis-bidder0024@loadtest.local,BypassOnly123!
bidbench-redis-bidder0025@loadtest.local,BypassOnly123!
bidbench-redis-bidder0026@loadtest.local,BypassOnly123!
bidbench-redis-bidder0027@loadtest.local,BypassOnly123!
bidbench-redis-bidder0028@loadtest.local,BypassOnly123!
bidbench-redis-bidder0029@loadtest.local,BypassOnly123!
bidbench-redis-bidder0030@loadtest.local,BypassOnly123!
bidbench-redis-bidder0031@loadtest.local,BypassOnly123!
bidbench-redis-bidder0032@loadtest.local,BypassOnly123!
bidbench-redis-bidder0033@loadtest.local,BypassOnly123!
bidbench-redis-bidder0034@loadtest.local,BypassOnly123!
bidbench-redis-bidder0035@loadtest.local,BypassOnly123!
bidbench-redis-bidder0036@loadtest.local,BypassOnly123!
bidbench-redis-bidder0037@loadtest.local,BypassOnly123!
bidbench-redis-bidder0038@loadtest.local,BypassOnly123!
bidbench-redis-bidder0039@loadtest.local,BypassOnly123!
bidbench-redis-bidder0040@loadtest.local,BypassOnly123!
